ct_sc_pipeline	ct_author	percent_overlap
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L2.3_IT	0.0
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Endo	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Astro	0.0
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Chandelier	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	OPC	0.0
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Lamp5_Lhx6	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Immune	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	PC	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Oligo	0.0
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L6_CT	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Sncg	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L6_IT_Car3	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L5.6_NP	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	SMC	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Sst_Chodl	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Pvalb	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L6_IT	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L5_IT	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	Lamp5	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L6b	
L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	L4_IT	
oligodendrocyte.precursor.cell	Micro	0.0
oligodendrocyte.precursor.cell	Sst	0.0
oligodendrocyte.precursor.cell	Pax6	0.0
oligodendrocyte.precursor.cell	VLMC	0.0
oligodendrocyte.precursor.cell	Vip	0.0
oligodendrocyte.precursor.cell	L5_ET	0.0
oligodendrocyte.precursor.cell	L2.3_IT	0.0
oligodendrocyte.precursor.cell	Endo	0.0
oligodendrocyte.precursor.cell	Astro	0.0
oligodendrocyte.precursor.cell	Chandelier	0.0
oligodendrocyte.precursor.cell	OPC	100.0
oligodendrocyte.precursor.cell	Lamp5_Lhx6	0.0
oligodendrocyte.precursor.cell	Immune	0.0
oligodendrocyte.precursor.cell	PC	0.0
oligodendrocyte.precursor.cell	Oligo	0.0
oligodendrocyte.precursor.cell	L6_CT	0.0
oligodendrocyte.precursor.cell	Sncg	0.0
oligodendrocyte.precursor.cell	L6_IT_Car3	0.0
oligodendrocyte.precursor.cell	L5.6_NP	0.0
oligodendrocyte.precursor.cell	SMC	0.0
oligodendrocyte.precursor.cell	Sst_Chodl	0.0
oligodendrocyte.precursor.cell	Pvalb	0.0
oligodendrocyte.precursor.cell	L6_IT	0.0
oligodendrocyte.precursor.cell	L5_IT	0.0
oligodendrocyte.precursor.cell	Lamp5	0.0
oligodendrocyte.precursor.cell	L6b	0.0
oligodendrocyte.precursor.cell	L4_IT	0.0
near.projecting.glutamatergic.cortical.neuron	Micro	0.0
near.projecting.glutamatergic.cortical.neuron	Sst	
near.projecting.glutamatergic.cortical.neuron	Pax6	
near.projecting.glutamatergic.cortical.neuron	VLMC	
near.projecting.glutamatergic.cortical.neuron	Vip	
near.projecting.glutamatergic.cortical.neuron	L5_ET	0.0
near.projecting.glutamatergic.cortical.neuron	L2.3_IT	0.0
near.projecting.glutamatergic.cortical.neuron	Endo	
near.projecting.glutamatergic.cortical.neuron	Astro	0.0
near.projecting.glutamatergic.cortical.neuron	Chandelier	
near.projecting.glutamatergic.cortical.neuron	OPC	0.0
near.projecting.glutamatergic.cortical.neuron	Lamp5_Lhx6	
near.projecting.glutamatergic.cortical.neuron	Immune	
near.projecting.glutamatergic.cortical.neuron	PC	
near.projecting.glutamatergic.cortical.neuron	Oligo	0.0
near.projecting.glutamatergic.cortical.neuron	L6_CT	
near.projecting.glutamatergic.cortical.neuron	Sncg	
near.projecting.glutamatergic.cortical.neuron	L6_IT_Car3	
near.projecting.glutamatergic.cortical.neuron	L5.6_NP	
near.projecting.glutamatergic.cortical.neuron	SMC	
near.projecting.glutamatergic.cortical.neuron	Sst_Chodl	
near.projecting.glutamatergic.cortical.neuron	Pvalb	
near.projecting.glutamatergic.cortical.neuron	L6_IT	
near.projecting.glutamatergic.cortical.neuron	L5_IT	
near.projecting.glutamatergic.cortical.neuron	Lamp5	
near.projecting.glutamatergic.cortical.neuron	L6b	
near.projecting.glutamatergic.cortical.neuron	L4_IT	
chandelier.pvalb.GABAergic.cortical.interneuron	Micro	0.0
chandelier.pvalb.GABAergic.cortical.interneuron	Sst	
